section,status,slot_id,device,cta_key,image_url,alt_text,heading_text,subheading_text,store_slug,dest_url
image,active,hero_left,desktop,best-sellers,https://images.squarespace-cdn.com/content/6037b89f5e48f42b6ba55f23/2fa78d3f-7cbb-4d06-a9b4-28b987f7bfa6/Desktop+Hero+Main_Background_Pink.png?content-type=image%2Fpng,Shop Best Sellers,The best in cannabis is here.,Shop this fall's best selling cannabis.,,
image,active,top_right,desktop,sale-all,https://images.squarespace-cdn.com/content/6037b89f5e48f42b6ba55f23/024e0cec-a8ea-40f5-ae62-ec278b286fdf/Desktop+Hero+Tile_Background_Yellow.png?content-type=image%2Fpng,Shop Sale Items,Deals for everyone.,See what's on sale.,,
image,active,bottom_right,desktop,campaign-sept,https://images.squarespace-cdn.com/content/6037b89f5e48f42b6ba55f23/eb10fcb8-28d3-499c-a9e9-9cce244bc25c/Desktop+Hero+Tile_Background_Greenish.png?content-type=image%2Fpng,Save On Wellness,,,,
image,active,slide_1,mobile,best-sellers,https://images.squarespace-cdn.com/content/6037b89f5e48f42b6ba55f23/8f152d22-133e-4a37-a916-ff0b1218bac9/Mobile+Hero+Main_Background_Pink.png?content-type=image%2Fpng,Shop Best Sellers,The best in cannabis is here.,Shop this fall's best selling cannabis.,,
image,active,slide_2,mobile,sale-all,https://images.squarespace-cdn.com/content/6037b89f5e48f42b6ba55f23/5504b45b-989f-470c-b9ef-4d6e43a1ba0a/Mobile+Hero+Tile_Background_Yellow.png?content-type=image%2Fpng,Shop Sale Items,Deals for everyone.,See what's on sale.,,
image,active,slide_3,mobile,campaign-sept,https://images.squarespace-cdn.com/content/6037b89f5e48f42b6ba55f23/74b16057-014e-4dad-8af2-f5f355abb679/Mobile+Hero+Tile_Background_Greenish.png?content-type=image%2Fpng,Save On Wellness,,,,
destination,active,hero_left,any,best-sellers,https://images.squarespace-cdn.com/content/6037b89f5e48f42b6ba55f23/2fa78d3f-7cbb-4d06-a9b4-28b987f7bfa6/Desktop+Hero+Main_Background_Pink.png?content-type=image%2Fpng,Shop Best Sellers,The best in cannabis is here.,Shop this fall's best selling cannabis.,,
destination,active,top_right,any,sale-all,https://images.squarespace-cdn.com/content/6037b89f5e48f42b6ba55f23/024e0cec-a8ea-40f5-ae62-ec278b286fdf/Desktop+Hero+Tile_Background_Yellow.png?content-type=image%2Fpng,Shop Sale Items,Deals for everyone.,See what's on sale.,,
destination,active,bottom_right,any,campaign-sept,https://images.squarespace-cdn.com/content/6037b89f5e48f42b6ba55f23/eb10fcb8-28d3-499c-a9e9-9cce244bc25c/Desktop+Hero+Tile_Background_Greenish.png?content-type=image%2Fpng,Save On Wellness,,,,
destination,active,slide_1,any,best-sellers,https://images.squarespace-cdn.com/content/6037b89f5e48f42b6ba55f23/8f152d22-133e-4a37-a916-ff0b1218bac9/Mobile+Hero+Main_Background_Pink.png?content-type=image%2Fpng,Shop Best Sellers,The best in cannabis is here.,Shop this fall's best selling cannabis.,,
destination,active,slide_2,any,sale-all,https://images.squarespace-cdn.com/content/6037b89f5e48f42b6ba55f23/5504b45b-989f-470c-b9ef-4d6e43a1ba0a/Mobile+Hero+Tile_Background_Yellow.png?content-type=image%2Fpng,Shop Sale Items,Deals for everyone.,See what's on sale.,,
destination,active,slide_3,any,campaign-sept,https://images.squarespace-cdn.com/content/6037b89f5e48f42b6ba55f23/74b16057-014e-4dad-8af2-f5f355abb679/Mobile+Hero+Tile_Background_Greenish.png?content-type=image%2Fpng,Save On Wellness,,,,
